split,db_id,n_joins,n_tables_ref,tables,join_types,topology,hardness,tier,n_fk_join_conds,n_join_conds,has_subquery,has_group_by,has_aggregation,has_where,agg_funcs,sql_tokens,query
dev,pets_1,0,1,pets,,single,medium,moderate,0,0,0,1,1,0,MAX,9,"SELECT max(weight) ,  petType FROM pets GROUP BY petType"
dev,pets_1,0,1,pets,,single,medium,moderate,0,0,0,1,1,0,MAX,9,"SELECT max(weight) ,  petType FROM pets GROUP BY petType"
dev,pets_1,1,2,student|has_pet,INNER,binary,medium,moderate,1,1,0,0,1,1,COUNT,18,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20
dev,pets_1,1,2,student|has_pet,INNER,binary,medium,moderate,1,1,0,0,1,1,COUNT,18,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.age  >  20
dev,pets_1,2,3,student|has_pet|pets,INNER|INNER,chain,hard,complex,2,2,0,0,1,1,COUNT,30,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'
dev,pets_1,2,3,student|has_pet|pets,INNER|INNER,chain,hard,complex,2,2,0,0,1,1,COUNT,30,SELECT count(*) FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T2.petid  =  T3.petid WHERE T1.sex  =  'F' AND T3.pettype  =  'dog'
dev,pets_1,0,1,pets,,single,medium,simple,0,0,0,0,1,0,COUNT,5,SELECT count(DISTINCT pettype) FROM pets
dev,pets_1,0,1,pets,,single,medium,simple,0,0,0,0,1,0,COUNT,5,SELECT count(DISTINCT pettype) FROM pets
dev,pets_1,2,3,student|has_pet|pets,INNER|INNER,chain,hard,complex,2,2,0,0,0,1,,31,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'
dev,pets_1,2,3,student|has_pet|pets,INNER|INNER,chain,hard,complex,2,2,0,0,0,1,,31,SELECT DISTINCT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' OR T3.pettype  =  'dog'
dev,pets_1,4,3,student|has_pet|pets,INNER|INNER|INNER|INNER,mesh,extra hard,extra,4,4,1,0,0,1,,53,select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'cat' intersect select t1.fname from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid join pets as t3 on t3.petid  =  t2.petid where t3.pettype  =  'dog'
dev,pets_1,4,3,student|has_pet|pets,INNER|INNER|INNER|INNER,mesh,extra hard,extra,4,4,1,0,0,1,,53,SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat' INTERSECT SELECT T1.Fname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog'
dev,pets_1,2,3,student|has_pet|pets,INNER|INNER,chain,extra hard,complex,2,2,1,0,0,1,,36,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')"
dev,pets_1,2,3,student|has_pet|pets,INNER|INNER,chain,extra hard,complex,2,2,1,0,0,1,,36,"SELECT major ,  age FROM student WHERE stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')"
dev,pets_1,2,3,student|has_pet|pets,INNER|INNER,chain,extra hard,extra,2,2,1,0,0,1,,31,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat'
dev,pets_1,2,3,student|has_pet|pets,INNER|INNER,chain,extra hard,extra,2,2,1,0,0,1,,31,SELECT stuid FROM student EXCEPT SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat'
dev,pets_1,4,3,student|has_pet|pets,INNER|INNER|INNER|INNER,mesh,extra hard,complex,4,4,1,0,0,1,,58,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')"
dev,pets_1,4,3,student|has_pet|pets,INNER|INNER|INNER|INNER,mesh,extra hard,complex,4,4,1,0,0,1,,58,"SELECT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'dog' AND T1.stuid NOT IN (SELECT T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pettype  =  'cat')"
dev,pets_1,0,1,pets,,single,easy,simple,0,0,0,0,0,0,,11,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1"
dev,pets_1,0,1,pets,,single,easy,simple,0,0,0,0,0,0,,11,"SELECT pettype ,  weight FROM pets ORDER BY pet_age LIMIT 1"
dev,pets_1,0,1,pets,,single,easy,simple,0,0,0,0,0,1,,10,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1"
dev,pets_1,0,1,pets,,single,easy,simple,0,0,0,0,0,1,,10,"SELECT petid ,  weight FROM pets WHERE pet_age  >  1"
dev,pets_1,0,1,pets,,single,medium,moderate,0,0,0,1,1,0,AVG|MAX,11,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype"
dev,pets_1,0,1,pets,,single,medium,moderate,0,0,0,1,1,0,AVG|MAX,11,"SELECT avg(pet_age) ,  max(pet_age) ,  pettype FROM pets GROUP BY pettype"
dev,pets_1,0,1,pets,,single,medium,moderate,0,0,0,1,1,0,AVG,9,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype"
dev,pets_1,0,1,pets,,single,medium,moderate,0,0,0,1,1,0,AVG,9,"SELECT avg(weight) ,  pettype FROM pets GROUP BY pettype"
dev,pets_1,1,2,student|has_pet,INNER,binary,medium,moderate,1,1,0,0,0,0,,17,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid"
dev,pets_1,1,2,student|has_pet,INNER,binary,medium,moderate,1,1,0,0,0,0,,17,"SELECT DISTINCT T1.fname ,  T1.age FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid"
dev,pets_1,1,2,student|has_pet,INNER,binary,medium,moderate,1,1,0,0,0,1,,18,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith'
dev,pets_1,1,2,student|has_pet,INNER,binary,medium,moderate,1,1,0,0,0,1,,18,SELECT T2.petid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid WHERE T1.Lname  =  'Smith'
dev,pets_1,1,2,student|has_pet,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,19,"SELECT count(*) ,  T1.stuid FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid"
dev,pets_1,1,2,student|has_pet,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,19,"select count(*) ,  t1.stuid from student as t1 join has_pet as t2 on t1.stuid  =  t2.stuid group by t1.stuid"
dev,pets_1,1,2,student|has_pet,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,23,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1"
dev,pets_1,1,2,student|has_pet,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,23,"SELECT T1.fname ,  T1.sex FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid GROUP BY T1.stuid HAVING count(*)  >  1"
dev,pets_1,2,3,student|has_pet|pets,INNER|INNER,chain,hard,complex,2,2,0,0,0,1,,30,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat'
dev,pets_1,2,3,student|has_pet|pets,INNER|INNER,chain,hard,complex,2,2,0,0,0,1,,30,SELECT T1.lname FROM student AS T1 JOIN has_pet AS T2 ON T1.stuid  =  T2.stuid JOIN pets AS T3 ON T3.petid  =  T2.petid WHERE T3.pet_age  =  3 AND T3.pettype  =  'cat'
dev,pets_1,0,2,student|has_pet,,binary,hard,moderate,0,0,1,0,1,1,AVG,12,select avg(age) from student where stuid not in (select stuid from has_pet)
dev,pets_1,0,2,student|has_pet,,binary,hard,moderate,0,0,1,0,1,1,AVG,12,select avg(age) from student where stuid not in (select stuid from has_pet)
dev,car_1,0,1,CONTINENTS,,single,medium,simple,0,0,0,0,1,0,COUNT,4,SELECT count(*) FROM CONTINENTS;
dev,car_1,0,1,CONTINENTS,,single,medium,simple,0,0,0,0,1,0,COUNT,4,SELECT count(*) FROM CONTINENTS;
dev,car_1,1,2,CONTINENTS|COUNTRIES,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,21,"SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;"
dev,car_1,1,2,CONTINENTS|COUNTRIES,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,21,"SELECT T1.ContId ,  T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.Continent GROUP BY T1.ContId;"
dev,car_1,0,1,COUNTRIES,,single,medium,simple,0,0,0,0,1,0,COUNT,4,SELECT count(*) FROM COUNTRIES;
dev,car_1,0,1,COUNTRIES,,single,medium,simple,0,0,0,0,1,0,COUNT,4,SELECT count(*) FROM COUNTRIES;
dev,car_1,1,2,CAR_MAKERS|MODEL_LIST,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,21,"SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;"
dev,car_1,1,2,CAR_MAKERS|MODEL_LIST,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,21,"SELECT T1.FullName ,  T1.Id ,  count(*) FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker GROUP BY T1.Id;"
dev,car_1,1,2,CAR_NAMES|CARS_DATA,INNER,binary,medium,moderate,1,1,0,0,0,0,,20,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;
dev,car_1,1,2,CAR_NAMES|CARS_DATA,INNER,binary,medium,moderate,1,1,0,0,0,0,,20,SELECT T1.Model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id ORDER BY T2.horsepower ASC LIMIT 1;
dev,car_1,1,2,CAR_NAMES|CARS_DATA,INNER,binary,hard,complex,1,1,1,0,1,1,AVG,21,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA)
dev,car_1,1,2,CAR_NAMES|CARS_DATA,INNER,binary,hard,complex,1,1,1,0,1,1,AVG,21,SELECT T1.model FROM CAR_NAMES AS T1 JOIN CARS_DATA AS T2 ON T1.MakeId  =  T2.Id WHERE T2.Weight  <  (SELECT avg(Weight) FROM CARS_DATA)
dev,car_1,3,4,CAR_MAKERS|MODEL_LIST|CAR_NAMES|CARS_DATA,INNER|INNER|INNER,chain_or_star,hard,complex,3,3,0,0,0,1,,35,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';
dev,car_1,3,4,CAR_MAKERS|MODEL_LIST|CAR_NAMES|CARS_DATA,INNER|INNER|INNER,chain_or_star,hard,complex,3,3,0,0,0,1,,35,SELECT DISTINCT T1.Maker FROM CAR_MAKERS AS T1 JOIN MODEL_LIST AS T2 ON T1.Id  =  T2.Maker JOIN CAR_NAMES AS T3 ON T2.model  =  T3.model JOIN CARS_DATA AS T4 ON T3.MakeId  =  T4.id WHERE T4.year  =  '1970';
dev,car_1,1,2,CARS_DATA|CAR_NAMES,INNER,binary,hard,complex,1,1,1,0,1,1,MIN,23,"SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);"
dev,car_1,1,2,CARS_DATA|CAR_NAMES,INNER,binary,hard,complex,1,1,1,0,1,1,MIN,23,"SELECT T2.Make ,  T1.Year FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T1.Year  =  (SELECT min(YEAR) FROM CARS_DATA);"
dev,car_1,2,3,MODEL_LIST|CAR_NAMES|CARS_DATA,INNER|INNER,chain,hard,complex,2,2,0,0,0,1,,27,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;
dev,car_1,2,3,MODEL_LIST|CAR_NAMES|CARS_DATA,INNER|INNER,chain,hard,complex,2,2,0,0,0,1,,27,SELECT DISTINCT T1.model FROM MODEL_LIST AS T1 JOIN CAR_NAMES AS T2 ON T1.model  =  T2.model JOIN CARS_DATA AS T3 ON T2.MakeId  =  T3.id WHERE T3.year  >  1980;
dev,car_1,2,3,CONTINENTS|COUNTRIES|car_makers,INNER|INNER,chain,hard,complex,2,2,0,1,1,0,COUNT,27,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;"
dev,car_1,2,3,CONTINENTS|COUNTRIES|car_makers,INNER|INNER,chain,hard,complex,2,2,0,1,1,0,COUNT,27,"SELECT T1.Continent ,  count(*) FROM CONTINENTS AS T1 JOIN COUNTRIES AS T2 ON T1.ContId  =  T2.continent JOIN car_makers AS T3 ON T2.CountryId  =  T3.Country GROUP BY T1.Continent;"
dev,car_1,1,2,CAR_MAKERS|COUNTRIES,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,23,SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;
dev,car_1,1,2,CAR_MAKERS|COUNTRIES,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,23,SELECT T2.CountryName FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId GROUP BY T1.Country ORDER BY Count(*) DESC LIMIT 1;
dev,car_1,1,2,model_list|car_makers,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,19,"select count(*) ,  t2.fullname from model_list as t1 join car_makers as t2 on t1.maker  =  t2.id group by t2.id;"
dev,car_1,1,2,MODEL_LIST|CAR_MAKERS,INNER,binary,medium,complex,1,1,0,1,1,0,COUNT,21,"SELECT Count(*) ,  T2.FullName ,  T2.id FROM MODEL_LIST AS T1 JOIN CAR_MAKERS AS T2 ON T1.Maker  =  T2.Id GROUP BY T2.id;"
dev,car_1,1,2,CARS_DATA|CAR_NAMES,INNER,binary,medium,moderate,1,1,0,0,0,1,,21,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';
dev,car_1,1,2,CARS_DATA|CAR_NAMES,INNER,binary,medium,moderate,1,1,0,0,0,1,,21,SELECT T1.Accelerate FROM CARS_DATA AS T1 JOIN CAR_NAMES AS T2 ON T1.Id  =  T2.MakeId WHERE T2.Make  =  'amc hornet sportabout (sw)';
dev,car_1,1,2,CAR_MAKERS|COUNTRIES,INNER,binary,medium,moderate,1,1,0,0,1,1,COUNT,18,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';
dev,car_1,1,2,CAR_MAKERS|COUNTRIES,INNER,binary,medium,moderate,1,1,0,0,1,1,COUNT,18,SELECT count(*) FROM CAR_MAKERS AS T1 JOIN COUNTRIES AS T2 ON T1.Country  =  T2.CountryId WHERE T2.CountryName  =  'france';
